work_key,subject
OL3775478W,"Fiction, Romance, Contemporary"
OL3775478W,"Adultery,  fiction"
OL3775478W,"Revenge, fiction"
OL3775478W,"Fiction, romance, general"
OL3775478W,"Fiction, romance, contemporary"
OL6794523W,"Fiction, Romance, Contemporary"
OL3771321W,"Fiction, Romance, Contemporary"
OL11277304W,"Fiction, Romance, Contemporary"
OL3759349W,"Fiction, Romance, Contemporary"
OL3458001W,"Fiction, Romance, Contemporary"
OL3458001W,"Fiction, romance, suspense"
OL3458001W,"Sisters, fiction"
OL11327979W,"Fiction, Romance, Contemporary"
OL8315359W,"Fiction, Romance, Contemporary"
OL3457933W,"Fiction, Romance, Contemporary"
OL11327957W,Contemporary romance
OL11327957W,"Fiction, romance, general"
OL3759116W,"Fiction, Romance, Contemporary"
OL9367818W,Fiction
OL9367818W,romance
OL5236259W,"Fiction, Romance, Contemporary"
OL11327666W,"Fiction, Romance, Contemporary"
OL20650912W,American literature
OL20650912W,"Fiction, fantasy, urban"
OL20650912W,"Fiction, romance, paranormal"
OL20650912W,"Fiction, fantasy, epic"
OL20650912W,"Fiction, romance, fantasy"
OL20650912W,collectionID:EanesChallenge
OL20650912W,"Fiction, romance, paranormal, general"
OL20650912W,[series:SJM_Crescent:City]
OL20650912W,fiction
OL20650912W,angels
OL20650912W,demonology
OL20650912W,Fairies
OL20650912W,fantasy fiction
OL20650912W,murder
OL77775W,Juvenile fiction
OL77775W,Friendship
OL77775W,Self-actualization (Psychology)
OL77775W,Choice
OL77775W,History
OL77775W,Single women
OL77775W,Fiction
OL77775W,Romance fiction
OL77775W,"Fiction, historical, general"
OL77775W,"Fiction, general"
OL77775W,"Fiction, romance, general"
OL77775W,American literature
OL77775W,Fear
OL21775531W,Dystopian
OL21775531W,science fiction
OL21775531W,young adult
OL21775531W,romance
OL21775531W,dystopian romance
OL21775531W,science fiction romance
OL21775531W,forbidden love
OL21775531W,power dynamics
OL21775531W,abuse
OL21775531W,trauma
OL21775531W,healing
OL21775531W,redemption
OL3759318W,"Fiction, Romance, Contemporary"
OL27838518W,"Fiction, romance, general"
OL11327953W,"Fiction, Romance, Contemporary"
OL11277315W,"Fiction, Romance, Contemporary"
OL20018811W,Long-distance relationships
OL20018811W,Novelists
OL20018811W,Fiction
OL20018811W,"Fiction, romance, contemporary"
OL20018811W,New York Times Bestseller
OL20018811W,"Fiction, romance, new adult"
OL3475982W,"Fiction, romance, general"
OL3475982W,"Fiction, general"
OL3475982W,Fiction
OL3475982W,romance
OL8315354W,"Fiction, Romance, Contemporary"
OL8315362W,"Fiction, Romance, Contemporary"
OL11328452W,"Fiction, Romance, Contemporary"
OL4955616W,Fiction in English
OL4955616W,Romance fiction
OL4955616W,Romance-language fiction
OL4955616W,Secretaries
OL4955616W,Fiction
OL11277298W,"Fiction, Romance, Contemporary"
OL3467485W,"Fiction, Romance, Contemporary"
OL3294436W,"Fiction, Romance, Contemporary"
OL3845148W,"Fiction, Romance, Contemporary"
OL4233148W,"Fiction, Romance, Contemporary"
OL20004814W,College students
OL20004814W,Man-woman relationships
OL20004814W,Fiction
OL20004814W,"Fiction, romance, contemporary"
